original order,Case Number,Year,Type,Country,Area,Activity,Sex ,Injury,Fatal (Y/N),Time
6303.0,2018.06.25,2018.0,Boat,USA,California,Surfing,F,"No injury to occupant, outrigger canoe and paddle damaged",N,18:00
6302.0,2018.06.18,2018.0,Unprovoked,USA,Georgia,Standing,F,Minor injury to left thigh,N,14:00
6301.0,2018.06.09,2018.0,Invalid,USA,Hawaii,Surfing,M,Injury to left lower leg from surfboard skeg,N,07:45
6300.0,2018.06.08,2018.0,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,Minor injury to lower leg,N,07:45
6299.0,2018.06.04,2018.0,Provoked,MEXICO,Colima,Diving,M,Lacerations to leg & hand shark PROVOKED INCIDENT,N,07:45
6298.0,2018.06.03,2018.0,Unprovoked,AUSTRALIA,New South Wales,Kite,M,"No injury, board bitten",N,07:45
6297.0,2018.06.03,2018.0,Unprovoked,BRAZIL,Pernambuco,Swimming,M,FATAL,Y,19:30
6296.0,2018.05.27,2018.0,Unprovoked,USA,Florida,Fishing,M,Minor injury to foot. PROVOKED INCIDENT,N,19:30
6295.0,2018.05.26,2018.0,Unprovoked,USA,Florida,Walking,M,Lower left leg bitten,N,17:00
6294.0,2018.05.26,2018.0,Unprovoked,USA,Florida,Standing,M,Minor injury to foot,N,14:00
6293.0,2018.05.24,2018.0,Provoked,AUSTRALIA,Queensland,Feeding,M,Minor bite to hand by captive shark. PROVOKED INCIDENT,N,08:30
6292.0,2018.05.21,2018.0,Unprovoked,USA,South Carolina,Boogie,M,Injuries to lower right leg and foot,N,08:30
6291.0,2018.05.13,2018.0,Unprovoked,USA,South Carolina,Swimming,M,Severe bite to right forearm,N,15:00
6290.0,2018.05.13,2018.0,Invalid,ENGLAND,Cornwall,Fishing,M,Injured by teeth of a dead porbeagle shark he was tossing overboard.,N,08:15
6289.0,2018.05.00,2018.0,Provoked,AUSTRALIA,Westerm Australia,Feeding,F,Shallow lacerations to finger PROVOKED INCIDENT,N,08:15
6288.0,2018.05.12,2018.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,"Minor injury, marks on board",N,11:00
